latitude,longitude,capital,country,,
9.176,7.181,Abuja,Nigeria,,
5.55,-0.217,Accra,Ghana,,
8.979,38.76,Addis Ababa,Ethiopia,,
36.763,3.051,Algiers,Algeria,,
-18.917,47.517,Antananarivo,Madagascar�,,
15.333,38.933,Asmara,Eritrea,,
12.65,-8,Bamako,Mali,,
4.367,18.583,Bangui,The Central African Republic,,
13.455,-16.579,Banjul,The Gambia,,
11.85,-15.583,Bissau,Guinea-Bissau,,
-4.259,15.285,Brazzaville,The Republic of the Congo,,
-3.376,29.36,Bujumbura,Burundi,,
30.044,31.236,Cairo,Egypt,,
9.51,-13.712,Conakry,Guinea,,
14.671,-17.438,Dakar,Senegal,,
11.595,43.148,Djibouti,Djibouti,,
-6.183,35.75,Dodoma,Tanzania,,
27.154,-13.203,El-Aai�n,Western Sahara,,
8.49,-13.234,Freetown,Sierra Leone,,
-24.629,25.923,Gaborone,Botswana,,
-17.818,31.045,Harare,Zimbabwe,,
4.85,31.6,Juba,South Sudan,,
0.316,32.566,Kampala,Uganda,,
15.588,32.534,Khartoum,Sudan,,
-1.954,30.061,Kigali,Rwanda,,
-4.3,15.3,Kinshasa,Democratic Republic of the Congo,,
0.383,9.45,Libreville,Gabon,,
-13.983,33.783,Lilongwe,Malawi,,
6.125,1.225,Lom�,Togo,,
-8.838,13.234,Luanda,Angola,,
-15.417,28.283,Lusaka,Zambia,,
3.75,8.783,Malabo,Equatorial Guinea,,
-25.965,32.589,Maputo,Mozambique,,
-29.317,27.483,Maseru,Lesotho,,
-26.317,31.133,Mbabane,Swaziland,,
2.067,45.367,Mogadishu,Somalia,,
6.311,-10.805,Monrovia,Liberia,,
-11.704,43.24,Moroni,The Comoros,,
12.134,15.055,N�Djamena,Chad,,
-1.283,36.817,Nairobi,Kenya,,
13.521,2.105,Niamey,Niger,,
18.086,-15.975,Nouakchott,Mauritania,,
12.37,-1.525,Ouagadougou,Burkina Faso,,
-20.162,57.499,Port Louis,Mauritius,,
6.473,2.626,Porto-Novo,Benin,,
14.917,-23.517,Praia,Cape Verde,,
-25.748,28.229,Pretoria,South Africa,,
34.025,-6.836,Rabat,Morocco,,
0.336,6.731,S�o Tom�,S�o Tom� and Pr�ncipe,,
32.893,13.18,Tripoli,Libya,,
36.803,10.18,Tunis,Tunisia,,
-4.62,55.452,Victoria,Seychelles,,
-22.57,17.077,Windhoek,Namibia,,
6.817,-5.283,Yamoussoukro,C�te d�Ivoire,,
3.867,11.517,Yaounde,Cameroon,,
